Matricula;Cod;Data Inicio;Hora Inicio;Data Fim;Hora Fim
028463;166;27/01/2025;00:00;31/01/2025;24:00
029421;279;29/01/2025;00:00;29/01/2025;24:00
031096;279;23/01/2025;00:00;23/01/2025;24:00
031548;279;30/01/2025;00:00;30/01/2025;24:00
031096;279;30/01/2025;00:00;30/01/2025;24:00
031253;166;23/01/2025;00:00;24/01/2025;24:00
029421;279;28/01/2025;00:00;28/01/2025;24:00
033552;279;24/01/2025;00:00;24/01/2025;24:00
032173;279;28/01/2025;00:00;28/01/2025;24:00
029872;278;01/02/2025;00:00;;24:00
028549;169;03/02/2025;00:00;03/02/2025;24:00
033842;279;07/02/2025;00:00;07/02/2025;24:00
028503;279;05/02/2025;00:00;05/02/2025;24:00
033552;279;03/02/2025;00:00;03/02/2025;24:00
032758;140;30/01/2025;00:00;09/02/2025;24:00
021266;279;03/02/2025;00:00;03/02/2025;24:00
033597;279;03/02/2025;00:00;03/02/2025;24:00
032643;172;06/02/2025;00:00;06/02/2025;24:00
032656;172;10/02/2025;00:00;10/02/2025;24:00
033538;172;07/02/2025;00:00;07/02/2025;24:00
004639;279;29/01/2025;00:00;29/01/2025;24:00
033437;279;27/01/2025;00:00;27/01/2025;24:00
029391;169;03/02/2025;00:00;03/02/2025;24:00
033644;169;05/02/2025;00:00;05/02/2025;24:00
032787;166;29/01/2025;00:00;28/05/2025;24:00
029796;279;29/01/2025;00:00;29/01/2025;24:00
033600;279;29/01/2025;00:00;29/01/2025;24:00
033542;279;29/01/2025;00:00;29/01/2025;24:00
033743;279;31/01/2025;00:00;31/01/2025;24:00
033743;279;30/01/2025;00:00;30/01/2025;24:00
029795;279;29/01/2025;00:00;29/01/2025;24:00
030944;279;29/01/2025;00:00;29/01/2025;24:00
021231;169;28/01/2025;00:00;28/01/2025;24:00
029255;279;30/01/2025;00:00;30/01/2025;24:00
033598;105;10/02/2025;00:00;10/04/2025;24:00
030944;169;31/01/2025;00:00;31/01/2025;24:00
029389;166;23/01/2025;00:00;22/04/2025;24:00
031413;166;21/01/2025;00:00;04/02/2025;24:00
031234;166;20/01/2025;00:00;19/04/2025;24:00
019687;166;01/02/2025;00:00;09/02/2025;24:00
031606;169;31/01/2025;00:00;31/01/2025;24:00
031656;279;28/01/2025;00:00;28/01/2025;24:00
004930;279;28/01/2025;00:00;28/01/2025;24:00
033301;279;24/01/2025;00:00;24/01/2025;24:00
033454;172;29/01/2025;00:00;30/01/2025;24:00
033875;279;28/01/2025;00:00;28/01/2025;24:00
033573;140;27/01/2025;00:00;28/01/2025;24:00
032948;166;22/01/2025;00:00;23/01/2025;24:00
024583;166;21/01/2025;00:00;24/01/2025;24:00
033809;140;23/01/2025;00:00;24/01/2025;24:00
031251;279;24/01/2025;00:00;24/01/2025;24:00
033885;279;24/01/2025;00:00;24/01/2025;24:00
033709;279;28/01/2025;00:00;28/01/2025;24:00
017927;279;24/01/2025;00:00;24/01/2025;24:00
033600;279;27/01/2025;00:00;27/01/2025;24:00
029740;279;24/01/2025;00:00;24/01/2025;24:00
028400;279;24/01/2025;00:00;24/01/2025;24:00
017927;279;27/01/2025;00:00;27/01/2025;24:00
033650;169;27/01/2025;00:00;27/01/2025;24:00
033888;167;26/01/2025;00:00;27/01/2025;24:00
033421;279;10/01/2025;00:00;10/01/2025;24:00
029425;166;13/01/2025;00:00;02/02/2025;24:00
031549;279;21/01/2025;00:00;21/01/2025;24:00
028466;279;23/01/2025;00:00;23/01/2025;24:00
028466;167;08/01/2025;00:00;08/01/2025;24:00
029681;279;17/01/2025;00:00;17/01/2025;24:00
032220;279;17/01/2025;00:00;17/01/2025;24:00
028457;166;08/01/2025;00:00;17/01/2025;24:00
031270;166;13/01/2025;00:00;11/02/2025;24:00
031353;169;21/01/2025;00:00;21/01/2025;24:00
031353;279;20/01/2025;00:00;20/01/2025;24:00
032218;279;20/01/2025;00:00;20/01/2025;24:00
031253;169;08/01/2025;00:00;14/01/2025;24:00
032173;279;22/01/2025;00:00;22/01/2025;24:00
033232;279;24/01/2025;00:00;24/01/2025;24:00
028395;169;22/01/2025;00:00;22/01/2025;24:00
033778;169;23/01/2025;00:00;24/01/2025;24:00
028813;279;17/01/2025;00:00;17/01/2025;24:00
028396;169;22/01/2025;00:00;22/01/2025;24:00
029800;279;21/01/2025;00:00;21/01/2025;24:00
004639;279;21/01/2025;00:00;21/01/2025;24:00
031234;279;17/01/2025;00:00;17/01/2025;24:00
030938;279;21/01/2025;00:00;21/01/2025;24:00
033885;173;21/01/2025;00:00;21/01/2025;24:00
018150;279;09/01/2025;00:00;09/01/2025;24:00
028490;279;17/01/2025;00:00;17/01/2025;24:00
031004;166;23/01/2025;00:00;24/01/2025;24:00
033234;279;05/02/2025;00:00;05/02/2025;24:00
033720;167;24/01/2025;00:00;31/01/2025;24:00
028539;166;03/02/2025;00:00;21/02/2025;24:00
032374;279;04/02/2025;00:00;04/02/2025;24:00
033914;169;03/02/2025;00:00;03/02/2025;24:00
029421;169;03/02/2025;00:00;03/02/2025;24:00
028471;279;06/02/2025;00:00;06/02/2025;24:00
029662;279;07/02/2025;00:00;07/02/2025;24:00
033459;279;03/02/2025;00:00;03/02/2025;24:00
029681;279;03/02/2025;00:00;03/02/2025;24:00
033568;279;31/01/2025;00:00;31/01/2025;24:00
032588;172;02/02/2025;00:00;02/02/2025;24:00
033644;172;01/02/2025;00:00;01/02/2025;24:00
033998;164;14/02/2025;00:00;30/04/2025;24:00
031126;177;11/02/2025;00:00;09/08/2025;24:00
033842;170;10/02/2025;00:00;17/02/2025;24:00
013484;172;14/02/2025;00:00;14/02/2025;24:00
029980;279;11/02/2025;00:00;11/02/2025;24:00
028542;169;01/02/2025;00:00;15/02/2025;24:00
031590;172;12/02/2025;00:00;12/02/2025;24:00
033543;172;11/02/2025;00:00;11/02/2025;24:00
032656;172;12/02/2025;00:00;14/02/2025;24:00
031126;166;30/01/2025;00:00;08/02/2025;24:00
004639;279;10/02/2025;00:00;10/02/2025;24:00
032528;279;06/02/2025;00:00;06/02/2025;24:00
029798;279;05/02/2025;00:00;05/02/2025;24:00
033552;279;12/02/2025;00:00;12/02/2025;24:00
033557;279;06/02/2025;00:00;06/02/2025;24:00
033673;279;06/02/2025;00:00;06/02/2025;24:00
018613;279;07/02/2025;00:00;07/02/2025;24:00
028400;279;13/02/2025;00:00;13/02/2025;24:00
032868;279;10/02/2025;00:00;10/02/2025;24:00
023587;279;12/02/2025;00:00;12/02/2025;24:00
032173;279;06/02/2025;00:00;06/02/2025;24:00
033828;279;10/02/2025;00:00;10/02/2025;24:00
033648;279;07/02/2025;00:00;07/02/2025;24:00
029795;279;11/02/2025;00:00;11/02/2025;24:00
033904;285;05/02/2025;00:00;07/02/2025;24:00
031542;169;12/02/2025;00:00;12/02/2025;24:00
018150;279;11/02/2025;00:00;11/02/2025;24:00
029255;169;07/02/2025;00:00;07/02/2025;24:00
032666;169;07/02/2025;00:00;07/02/2025;24:00
033082;169;05/02/2025;00:00;07/02/2025;24:00
004639;169;07/02/2025;00:00;07/02/2025;24:00
033304;167;13/02/2025;00:00;14/02/2025;24:00
022530;169;07/02/2025;00:00;07/02/2025;24:00
033606;169;10/02/2025;00:00;11/02/2025;24:00
030992;169;06/02/2025;00:00;06/02/2025;24:00
033646;167;05/02/2025;00:00;06/02/2025;24:00
029712;173;07/02/2025;00:00;07/02/2025;24:00
031413;279;12/02/2025;00:00;12/02/2025;24:00
014669;172;12/02/2025;00:00;12/02/2025;24:00
028530;279;05/02/2025;00:00;05/02/2025;24:00
029720;169;11/02/2025;00:00;11/02/2025;24:00
033473;169;03/02/2025;00:00;03/02/2025;24:00
019580;279;10/02/2025;00:00;10/02/2025;24:00
019636;279;10/02/2025;00:00;10/02/2025;24:00
028565;279;11/02/2025;00:00;11/02/2025;24:00
029896;279;10/02/2025;00:00;10/02/2025;24:00
030970;279;10/02/2025;00:00;10/02/2025;24:00
019946;279;11/02/2025;00:00;11/02/2025;24:00
030992;279;03/02/2025;00:00;03/02/2025;24:00
028603;279;11/02/2025;00:00;11/02/2025;24:00
030605;279;11/02/2025;00:00;11/02/2025;24:00
030601;279;03/02/2025;00:00;03/02/2025;24:00
033700;169;03/02/2025;00:00;03/02/2025;24:00
015363;173;07/02/2025;00:00;07/02/2025;24:00
025903;279;07/02/2025;00:00;07/02/2025;24:00
033958;279;04/02/2025;00:00;04/02/2025;24:00
028568;172;14/02/2025;00:00;14/02/2025;24:00
030971;279;06/02/2025;00:00;06/02/2025;24:00
019881;279;06/02/2025;00:00;06/02/2025;24:00
028547;279;07/02/2025;00:00;07/02/2025;24:00
032758;107;10/02/2025;00:00;09/06/2025;24:00
016165;171;14/02/2025;00:00;14/02/2025;24:00
030938;169;14/02/2025;00:00;14/02/2025;24:00
033815;167;13/02/2025;00:00;14/02/2025;24:00
031606;167;13/02/2025;00:00;14/02/2025;24:00
028796;172;17/02/2025;00:00;17/02/2025;24:00
032316;279;29/01/2025;00:00;29/01/2025;24:00
032224;167;13/02/2025;00:00;14/02/2025;24:00
030966;279;12/02/2025;00:00;12/02/2025;24:00
028571;169;07/02/2025;00:00;07/02/2025;24:00
028653;279;07/02/2025;00:00;07/02/2025;24:00
033902;279;13/02/2025;00:00;13/02/2025;24:00
029858;279;12/02/2025;00:00;12/02/2025;24:00
019610;279;14/02/2025;00:00;14/02/2025;24:00
030593;169;13/02/2025;00:00;13/02/2025;24:00
030591;173;07/02/2025;00:00;07/02/2025;24:00
019547;173;07/02/2025;00:00;07/02/2025;24:00
028503;279;12/02/2025;00:00;12/02/2025;24:00
014146;279;07/02/2025;00:00;07/02/2025;24:00
028571;169;11/02/2025;00:00;13/02/2025;24:00
031793;279;13/02/2025;00:00;13/02/2025;24:00
016262;169;10/02/2025;00:00;10/02/2025;24:00
028510;169;10/02/2025;00:00;10/02/2025;24:00
028578;279;13/02/2025;00:00;13/02/2025;24:00
030964;169;17/02/2025;00:00;17/02/2025;24:00
032214;177;10/02/2025;00:00;08/08/2025;24:00
033814;107;10/02/2025;00:00;09/06/2025;24:00
025172;166;28/01/2025;00:00;29/01/2025;24:00
033232;279;18/02/2025;00:00;18/02/2025;24:00
032522;0;10/02/2025;00:00;01/03/2025;24:00
022734;0;06/01/2025;00:00;20/01/2025;24:00
018613;0;02/01/2025;00:00;19/01/2025;24:00
031947;0;13/01/2025;00:00;27/01/2025;24:00
029382;0;02/01/2025;00:00;21/01/2025;24:00
030940;0;06/01/2025;00:00;25/01/2025;24:00
032457;0;02/01/2025;00:00;31/01/2025;24:00
030142;0;02/01/2025;00:00;31/01/2025;24:00
030143;0;02/01/2025;00:00;31/01/2025;24:00
031010;0;03/01/2025;00:00;12/01/2025;24:00
030004;0;16/01/2025;00:00;30/01/2025;24:00
031782;0;15/01/2025;00:00;13/02/2025;24:00
029774;0;02/01/2025;00:00;31/01/2025;24:00
031081;0;01/01/2025;00:00;30/01/2025;24:00
020243;0;01/01/2025;00:00;30/01/2025;24:00
001630;0;01/01/2025;00:00;30/01/2025;24:00
031123;0;01/01/2025;00:00;30/01/2025;24:00
028553;0;01/01/2025;00:00;30/01/2025;24:00
028530;0;01/01/2025;00:00;30/01/2025;24:00
030594;0;01/01/2025;00:00;30/01/2025;24:00
032631;0;01/01/2025;00:00;30/01/2025;24:00
029909;0;01/01/2025;00:00;30/01/2025;24:00
029720;0;01/01/2025;00:00;30/01/2025;24:00
018699;0;01/01/2025;00:00;30/01/2025;24:00
030978;0;01/01/2025;00:00;30/01/2025;24:00
001079;0;01/01/2025;00:00;30/01/2025;24:00
028601;0;01/01/2025;00:00;30/01/2025;24:00
019768;0;01/01/2025;00:00;30/01/2025;24:00
016467;0;01/01/2025;00:00;30/01/2025;24:00
031043;0;01/01/2025;00:00;30/01/2025;24:00
028571;0;01/01/2025;00:00;30/01/2025;24:00
028567;0;01/01/2025;00:00;30/01/2025;24:00
029897;0;01/01/2025;00:00;30/01/2025;24:00
020391;0;01/01/2025;00:00;30/01/2025;24:00
019580;0;01/01/2025;00:00;30/01/2025;24:00
032923;0;01/01/2025;00:00;30/01/2025;24:00
016157;0;01/01/2025;00:00;30/01/2025;24:00
